"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
354,"Cardiac Magnetic Resonance Tissue Characterization in COVID-19 Survivors","Recruiting","No Results Available","COVID-19 Pneumonia|COVID-19|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|COVID-19 Lower Respiratory Infection|COVID-19 Acute Bronchitis|Coronavirus Disease 2019","Diagnostic Test: Cardiac MRI|Diagnostic Test: Echocardiogram|Diagnostic Test: 6-minute walk test|Diagnostic Test: Questionnaire","All","18 Years and older   (Adult, Older Adult)",,"510","July 30, 2026","New York Presbyterian-Brooklyn Methodist Hospital, Brooklyn, New York, United States|New York Presbyterian Queens, New York, New York, United States|Weill Cornell Medicine/New-York Presbyterian Hospital, New York, New York, United States","https://ClinicalTrials.gov/show/NCT05164744"
355,"Ganciclovir/Valganciclovir for Prevention of CMV Reactivation in Acute Injury of the Lung and Respiratory Failure","Completed","Has Results","Acute Lung Injury|Acute Respiratory Distress Syndrome|Respiratory Failure","Drug: IV Ganciclovir|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","160","October 28, 2016","University of Colorado / National Jewish Health / Swedish Medical Center, Denver, Colorado, United States|Northwestern University, Chicago, Illinois, United States|Baystate Critical Care Medicine / Tufts University School of Medicine, Springfield, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Wakeforest University, School of Medicine, Winston-Salem, North Carolina, United States|The Cleveland Clinic Foundation, Cleveland, Ohio, United States|Ohio State University Medical Center, Columbus, Ohio, United States|The Oregon Clinic, Portland, Oregon, United States|University of Pennsylvania Medical Center, Philadelphia, Pennsylvania, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|University of Vermont College of Medicine, Burlington, Vermont, United States|University of Virginia, Charlottesville, Virginia, United States|Harborview Medical Center, Seattle, Washington, United States|University of Washington Medical Center / Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01335932"
356,"Losartan for Patients With COVID-19 Requiring Hospitalization","Completed","Has Results","Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection","Drug: Losartan|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","205","February 1, 2021","University of Florida Health Gainesville, Gainesville, Florida, United States|University of Florida Health Jacksonville, Jacksonville, Florida, United States|Grady Memorial Hospital, Atlanta, Georgia, United States|Henry Ford Hospital, Detroit, Michigan, United States|M Health Fairview Ridges Hospital, Burnsville, Minnesota, United States|M Health Fairview Southdale Hospital, Edina, Minnesota, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States|M Health Fairview University of Minnesota Medical Center, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States|North Memorial Health Hospital, Robbinsdale, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Cooper University Hospital, Camden, New Jersey, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT04312009"
357,"Inhaled ZYESAMI™ (Aviptadil Acetate) for the Treatment of Severe COVID-19","Terminated","No Results Available","SARS-CoV 2|COVID|ARDS|ALI|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Dyspnea","Drug: ZYESAMI™ (aviptadil acetate)|Drug: Placebo|Device: Nebulized administration of ZYESAMI™ or Placebo","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2|Phase 3","144","December 31, 2021","St. Jude Medical Center, Fullerton, California, United States|University of California - Irvine, Irvine, California, United States|University of Miami Leonard M. Miller School of Medicine (UMMSM), Miami, Florida, United States|Advent Health Research Institute, Orlando, Florida, United States|Northwestern Medical Group, Winfield, Illinois, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Great Plains Health, North Platte, Nebraska, United States|University Medical Center, Las Vegas, Nevada, United States|Holy Name Medical Center, Teaneck, New Jersey, United States|Kettering Health Network, Kettering, Ohio, United States|Doylestown Hospital, Doylestown, Pennsylvania, United States|Self Regional Healthcare, Greenwood, South Carolina, United States|University of Texas San Antonio Medical Arts and Research Center, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT04360096"
358,"Late Permissive Hypercapnia for Intubated and Ventilated Preterm Infants","Completed","No Results Available","Premature Neonate","Other: Higher permissive hypercapnia|Other: Lower Permissive Hypercapnia","All","7 Days to 14 Days   (Child)","Not Applicable","130","April 2021","UAB, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT02799875"
359,"Inhaled Prostaglandin E1 (IPGE1) for Hypoxemic Respiratory Failure (NHRF)","Terminated","Has Results","Prematurity|Respiratory Insufficiency|Pulmonary Hypertension|Respiratory Distress Syndrome, Newborn","Drug: Aerosolized Normal Saline|Drug: Inhaled PGE1","All","up to 7 Days   (Child)","Phase 2","7","June 2012","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California - Los Angeles, Los Angeles, California, United States|Stanford University, Palo Alto, California, United States|University of Iowa, Iowa City, Iowa, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|University of Rochester, Rochester, New York, United States|Duke University, Durham, North Carolina, United States|Research Institute at Nationwide Children's Hospital, Columbus, Ohio, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT01467076"
360,"Investigation of a New, Oral Growth Hormone Secretagogue, AEZS-130 as a Growth Hormone Stimulation Test.","Completed","Has Results","Diagnosis of Adult Growth Hormone Deficiency (AGDH)","Drug: AEZS-130 (formerly ARD-07)|Drug: L-ARG+GHRH","All","18 Years and older   (Adult, Older Adult)","Phase 3","101","July 2011","Celerion, Tempe, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|Harbor-UCLA Medical Center, Torrance, California, United States|Northwestern University, Chicago, Illinois, United States|Radiant Research Inc., Chicago, Illinois, United States|John Hopkins University, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Celerion, Lincoln, Nebraska, United States|Celerion, Neptune, New Jersey, United States|Oregon Health & Science University, Portland, Oregon, United States|Baylor College of Medicine, Houston, Texas, United States|Cetero Research, San Antonio, Texas, United States|VA Puget Sound HCS University of Washington, Tacoma, Washington, United States","https://ClinicalTrials.gov/show/NCT00448747"
361,"Trial II of Lung Protection With Azithromycin in the Preterm Infant","Completed","Has Results","Bronchopulmonary Dysplasia","Drug: Azithromycin|Drug: Placebo","All","up to 72 Hours   (Child)","Phase 2","220","June 2012","University of Kentucky Medical Center, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT00319956"
362,"Mesenchymal Stromal Cells for COVID-19 and Viral Pneumonias","Recruiting","No Results Available","COVID-19 Pneumonia|Viral Pneumonia","Biological: Allogeneic Mesenchymal Stromal Cells","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","10","May 4, 2023","Medical University of South Carolina, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT05286255"
363,"Regional Lung Inflammation and Expansion in Mechanically Ventilated Patients - a PET/CT Study","Unknown status","No Results Available","Respiratory Failure",,"All","18 Years and older   (Adult, Older Adult)",,"10","March 2019","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01806532"
364,"Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2","Completed","Has Results","Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection|Coronavirus|Coronavirus Infections","Drug: Hydroxychloroquine|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 3","1312","May 20, 2020","Nationwide Enrollment via Internet, please email: covid19@umn.edu, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States|University of Alberta, Edmonton, Alberta, Canada|University of Manitoba, Winnipeg, Manitoba, Canada|Research Institute of the McGill University Heath Centre, Montréal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT04308668"
365,"Study of Therapeutic Exercise in Acute Respiratory Failure to Improve Neuromuscular Disability Trial","Completed","No Results Available","Critical Illness|Acute Respiratory Failure","Behavioral: Early mobilization intervention","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1917","July 30, 2020","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Penn Presbyterian Medical Center, Philadelphia, Pennsylvania, United States|Pennsylvania Hospital, Philadelphia, Pennsylvania, United States|Chester County Hospital, West Chester, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03863470"
366,"Betamethasone Dosing Interval - 12 or 24 Hours?","Completed","No Results Available","Preterm Delivery","Drug: dosing of Betamethasone","Female","16 Years to 45 Years   (Child, Adult)","Not Applicable","200","October 2009","Cooper University Hospital, Camden, New Jersey, United States|Atlanticare Regional Medical Center, Pomona, New Jersey, United States","https://ClinicalTrials.gov/show/NCT00453141"
367,"Tocilizumab for Patients With Cancer and COVID-19 Disease","Terminated","Has Results","Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Pneumonia|Pneumonitis|Severe Acute Respiratory Distress Syndrome|Symptomatic COVID-19 Infection Laboratory-Confirmed","Biological: Tocilizumab","All","2 Years and older   (Child, Adult, Older Adult)","Phase 2","1","January 14, 2021","National Cancer Institute, Rockville, Maryland, United States|University Medical Center of Southern Nevada, Las Vegas, Nevada, United States|Summerlin Hospital Medical Center, Las Vegas, Nevada, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Valley Medical Center, Renton, Washington, United States","https://ClinicalTrials.gov/show/NCT04370834"
368,"ACTIV-3b: Therapeutics for Severely Ill Inpatients With COVID-19","Completed","No Results Available","Covid19","Biological: Remdesivir|Drug: Remdesivir Placebo|Biological: Aviptadil|Drug: Aviptadil Placebo|Drug: Corticosteroid","All","18 Years and older   (Adult, Older Adult)","Phase 3","473","November 20, 2022","Banner University Medical Center Tucson (Site 206-004), 1625 N. Campbell Avenue, Tucson, Arizona, United States|UCSF Fresno (Site 203-005), 155 N. Fresno Street, Fresno, California, United States|VA Loma Linda Healthcare System (Site 074-017), 11201 Benton Street, Loma Linda, California, United States|Cedars-Sinai Medical Center (Site 208-002), 8700 Beverly Boulevard, Los Angeles, California, United States|Ronald Reagan UCLA Medical Center (Site 203-002), 757 Westwood Plaza, Los Angeles, California, United States|UCSF Medical Center at Mount Zion (Site 203-007), 1600 Divisadero St., San Francisco, California, United States|UCSF Medical Center (Site 203-001), Moffit-Long Hospital, 505 Parnassus Ave., San Francisco, California, United States|Stanford University Hospital & Clinics (Site 203-003), 300 Pasteur Dr., Stanford, California, United States|University of Colorado Hospital (Site 204-001), 12605 E. 16th Avenue, Aurora, Colorado, United States|Denver Health Medical Center (Site 204-004), 780 Delaware Street, Pavilion B, Denver, Colorado, United States|MedStar Health Research Institute (Site 009-021), 110 Irving St., NW., Washington, District of Columbia, United States|Washington DC VA Medical Center (Site 009-004), 50 Irving Street, NW., Washington, District of Columbia, United States|Emory University (Site 301-008), Bldg. A, Suite 2236, 1365 Clifton Rd., NE., Atlanta, Georgia, United States|Massachusetts General Hospital (Site 202-002), 55 Fruit Street, Boston, Massachusetts, United States|Baystate Medical Center (Site 201-001), Critical Care Research, 759 Chestnut Street, Springfield, Massachusetts, United States|Montefiore Medical Center - Moses Hospital (Site 206-001), 111 E. 210th Street, Bronx, New York, United States|Montefiore Medical Center - Weiler campus (Site 206-003), 111 E. 210th Street, Bronx, New York, United States|Mount Sinai Medical Center (Site 301-012), Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, New York, New York, United States|Columbia University Irving Medical Center (Site 301-027), 177 Fort Washington Ave., New York, New York, United States|Duke University Hospital (Site 301-006), 2301 Erwin Road, Durham, North Carolina, United States|Wake Forest Baptist Health (Site 210-001), Medical Center Blvd, Winston-Salem, North Carolina, United States|University of Cincinnati Medical Center (Site 207-003), 234 Goodman Street, ML 0740, Cincinnati, Ohio, United States|Cleveland Clinic Fairview Hosptial (Site 207-005), 18101 Lorain Ave., Cleveland, Ohio, United States|Cleveland Clinic Foundation (Site 207-001), 9500 Euclid Ave., Cleveland, Ohio, United States|The Ohio State University Wexner Medical Center (Site 207-004), 410 W. 10th Avenue, Columbus, Ohio, United States|Cleveland Clinic Marymount Campus (Site 207-006), 12300 McCracken Road, Garfield Heights, Ohio, United States|Cleveland Clinic Hillcrest Hospital (Site 207-007), 6780 Mayfield Road, Mayfield Heights, Ohio, United States|Oregon Health & Science University (Site 208-003), 3181 SW Sam Jackson Park Rd., Portland, Oregon, United States|Medical University of South Carolina (Site 210-002), 96 Jonathan Lucas St., CSB 214, Charleston, South Carolina, United States|Vanderbilt University Medical Center (Site 212-001), 1211 Medical Center Drive, Nashville, Tennessee, United States|Baylor, Scott and White Health (Site 301-003), Baylor University Medical Center, 3500 Gaston Ave., Dallas, Texas, United States|Houston Methodist Hospital (Site 301-028), 6565 Fannin Street, Houston, Texas, United States|Texas Heart Institute (Site 301-017), 6770 Bertner, MC4-266, Houston, Texas, United States|University of Texas Health Science Center (Site 203-006), 7000 Fannin St., Houston, Texas, United States|Intermountain Medical Center (Site 211-001), 5121 South Cottonwood Street, Murray, Utah, United States|University of Utah Hospital (Site 211-002), 50 North Medical Drive, Salt Lake City, Utah, United States|UVA School of Medicine (Site 210-003), University of Virginia Health System, University Hospital, 1215 Lee St., Charlottesville, Virginia, United States|Harborview Medical Center (Site 208-001), 325 9th Ave., Seattle, Washington, United States|Swedish Medical Center (Site 208-005), 747 Broadway, Seattle, Washington, United States|West Virginia University Medicine (Site 301-023), One Medical Center Drive, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT04843761"
369,"Synchronized Intermittent Mechanical Ventilation Versus Open Lung Ventilation With Spontaneous Respiration","Unknown status","No Results Available","Trauma",,"All","18 Years and older   (Adult, Older Adult)",,"198",,"University of New Mexico Hospital, Albuquerque, New Mexico, United States","https://ClinicalTrials.gov/show/NCT00891085"
370,"Hemodynamics and Extravascular Lung Water in Acute Lung Injury","Completed","Has Results","Acute Lung Injury","Drug: Diuresis (furosemide) part I|Other: Fluid Bolus (crystalloid or albumin)|Drug: Vasopressors (Norepinephrine, Vasopressin, Phenylephrine, Epinephrine)|Drug: Dobutamine|Other: Concentrate all drips and nutrition|Drug: Diuresis (furosemide) part II|Procedure: Dialysis","All","18 Years and older   (Adult, Older Adult)","Phase 2","33","January 2011","Kaiser Permanente Sunnyside, Clackamas, Oregon, United States|Legacy Good Samaritan, Portland, Oregon, United States|Oregon Health and Science University, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT00624650"
371,"Closure of Patent Ductus Arteriosus With Indomethacin or Ibuprofen in Extreme Low Birth Weight Infants","Completed","No Results Available","Patent Ductus Arteriosus","Drug: Ibuprofen","All","up to 6 Months   (Child)","Not Applicable","110","February 2012","John H. Stroger, Jr. Hospital of Cook County, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01758913"
372,"Symphony IL-6 Study in Patients at Risk of Severe Sepsis","Recruiting","No Results Available","Severe Sepsis",,"All","22 Years and older   (Adult, Older Adult)",,"200","November 21, 2023","University of Michigan Medical Center, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT05665153"
373,"Description of Fluid Balance in Patients With Acute Respiratory Failure","Unknown status","No Results Available","Respiratory Insufficiency",,"All","18 Years and older   (Adult, Older Adult)",,"50","December 2015","University of Maryland Medical Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02523872"
374,"Treatment of Critical Illness Polyneuromyopathy","Completed","Has Results","Acute Respiratory Failure","Procedure: intensive physical therapy|Procedure: control group","All","18 Years and older   (Adult, Older Adult)","Not Applicable","120","October 2015","Medical Center of Aurora, Aurora, Colorado, United States|University of Colorado Denver, Aurora, Colorado, United States|Rose Medical Center, Denver, Colorado, United States|Swedish Medical Center, Englewood, Colorado, United States|St. Anthony Hospital, Lakewood, Colorado, United States","https://ClinicalTrials.gov/show/NCT01058421"
375,"CLBS119 for Repair of COVID-19 Induced Pulmonary Damage","Withdrawn","No Results Available","Covid-19","Biological: CLBS119","All","18 Years and older   (Adult, Older Adult)","Phase 1","0","May 2021","NYU Langone Health, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04522817"
376,"Inhaled PGE1 in Neonatal Hypoxemic Respiratory Failure","Withdrawn","No Results Available","Infant, Newborn|Respiratory Insufficiency|Pulmonary Hypertension|Respiratory Distress Syndrome, Newborn|Streptococcal Infections","Drug: Inhaled Prostaglandin E1","All","up to 7 Days   (Child)","Phase 2","0","September 2008","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|University of Iowa, Iowa City, Iowa, United States|Tufts Medical Center, Boston, Massachusetts, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|RTI International, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|University of Utah, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00598429"
377,"Predicting Lung Injury From Transfusion in Patients With Liver Disease","Terminated","No Results Available","Transfusion-related Acute Lung Injury|Chronic Liver Disease|Gastrointestinal Bleeding",,"All","18 Years to 85 Years   (Adult, Older Adult)",,"16","December 2016","University of Colorado Denver, Anshutz medical campus, Aurora, Colorado, United States|Denver Health and Hospital, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT01756690"
378,"High Flow Nasal Cannula Versus Bubble Nasal CPAP for the Treatment of Transient Tachypnea of the Newborn in Infants ≥ 35 Weeks Gestation","Terminated","Has Results","Transient Tachypnea of the Newborn","Other: High Flow Nasal Cannula|Other: Bubble Nasal CPAP","All","up to 24 Hours   (Child)","Not Applicable","7","April 2012","Mount Sinai School of Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01270581"
379,"Fluid Management in Transient Tachypnea of the Newborn","Completed","Has Results","Transient Tachypnea of the Newborn","Other: Amount of total fluids","All","up to 24 Hours   (Child)","Not Applicable","64","September 2010","Mount Sinai School of Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01225029"
380,"Prophylactic Continuous Positive Airway Pressure (CPAP) in Delivery Room, in the Prevention of Transient Tachypnea of Newborn (TTN): A Randomized Controlled Trial","Completed","No Results Available","Transient Tachypnea","Other: Prophylactic CPAP Administration","All","2 Minutes to 30 Minutes   (Child)","Not Applicable","138","April 2013","New York Hospital Queens, Flushing, New York, United States","https://ClinicalTrials.gov/show/NCT01082900"
381,"Effect of Supine or Prone Position After Caesarean Birth","Completed","No Results Available","Respiratory Distress|Transient Tachypnea of the Newborn|Delayed Transition of the Newborn|Persistent Pulmonary Hypertension","Procedure: prone positioning|Procedure: Supine","Female","Child, Adult, Older Adult","Not Applicable","65","February 2009","Jack D. Weiler Hospital of the Albert Einstein College of Medicine, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT01310153"
382,"Ganciclovir to Prevent Reactivation of Cytomegalovirus in Patients With Acute Respiratory Failure and Sepsis","Recruiting","No Results Available","Acute Respiratory Failure","Drug: IV Ganciclovir","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 3","500","August 31, 2027","University of Colorado Denver, Denver, Colorado, United States|Johns Hopkins University, Baltimore, Maryland, United States|Brigham & Women's Hospital, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Henry Ford Hospital, Detroit, Michigan, United States|Washington University, Saint Louis, Missouri, United States|Montefioure Medical Center, Bronx, New York, United States|Duke University, Durham, North Carolina, United States|Wakeforest University, School of Medicine, Winston-Salem, North Carolina, United States|University of Cincinnati, Cincinnati, Ohio, United States|The Cleveland Clinic Foundation, Cleveland, Ohio, United States|Ohio State University Medical Center, Columbus, Ohio, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Medical College of South Carolina, Charleston, South Carolina, United States|Vanderbilt University, Nashville, Tennessee, United States|Intermountain Medical Center, Murray, Utah, United States|University of Vermont College of Medicine, Burlington, Vermont, United States|Harborview Medical Center, Seattle, Washington, United States|University of Washington Medical Center, Seattle, Washington, United States|University of Wisconsin School of Medicine & Public Health, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04706507"
383,"Early Inhaled Nitric Oxide for Respiratory Failure in Newborns","Terminated","No Results Available","Infant, Newborn|Hypertension, Pulmonary|Persistent Fetal Circulation Syndrome|Pneumonia, Aspiration|Respiratory Distress Syndrome, Newborn|Respiratory Insufficiency","Drug: Inhaled Nitric Oxide|Drug: Standard iNO therapy","All","up to 14 Days   (Child)","Phase 3","302","August 2003","University of Alabama at Birmingham, Birmingham, Alabama, United States|St. Joseph's Hospital, Phoenix, Arizona, United States|Stanford University, Palo Alto, California, United States|San Diego Children's Hospital, San Diego, California, United States|Yale University, New Haven, Connecticut, United States|University of Miami, Miami, Florida, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Tennessee, Memphis, Tennessee, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|Texas Children's Hospital, Houston, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|University of Washington School of Medicine, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00005773"
384,"Inhaled Nitric Oxide Study for Respiratory Failure in Newborns","Terminated","No Results Available","Infant, Newborn|Hypertension, Pulmonary|Persistent Fetal Circulation Syndrome|Pneumonia, Aspiration|Respiratory Distress Syndrome, Newborn|Respiratory Insufficiency","Drug: Inhaled nitric oxide|Drug: Placebo","All","up to 14 Days   (Child)","Phase 3","235","May 1998","Stanford University, Palo Alto, California, United States|Yale University, New Haven, Connecticut, United States|George Washington University, Washington, D.C., District of Columbia, United States|Indiana University, Indianapolis, Indiana, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Tennessee, Memphis, Tennessee, United States|Texas Children's Hospital, Houston, Texas, United States|Foothills Hospital, Calgary, Alberta, Canada|Royal Alexandra Hospital, Edmonton, Alberta, Canada|British Columbia Children's Hospital, Vancouver, British Columbia, Canada|Health Sciences Center, Winnipeg, Manitoba, Canada|McMaster University, Hamilton, Ontario, Canada|Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada|Montreal Children's Hospital, Montreal, Quebec, Canada|Université de Sherbrooke,, Sherbrooke,, Quebec, Canada|Royal University Hospital, Saskatoon, Saskatchewan, Canada","https://ClinicalTrials.gov/show/NCT00005776"
385,"Selenium as a Potential Treatment for Moderately-ill, Severely-ill, and Critically-ill COVID-19 Patients.","Not yet recruiting","No Results Available","Covid19","Drug: Selenium (as Selenious Acid)|Other: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","December 15, 2021","CHRISTUS Good Shepherd Medical Center, Longview, Texas, United States","https://ClinicalTrials.gov/show/NCT04869579"
386,"Vitamin A Supplementation for Extremely-Low-Birth-Weight Infants","Completed","No Results Available","Infant, Newborn|Infant, Low Birth Weight|Infant, Small for Gestational Age|Infant, Premature|Bronchopulmonary Dysplasia|Respiration, Artificial|Respiratory Distress Syndrome, Newborn|Sepsis","Drug: Vitamin A|Other: Sham Procedure","All","24 Hours to 96 Hours   (Child)","Phase 1|Phase 2","807","July 1999","Stanford University, Palo Alto, California, United States|Yale University, New Haven, Connecticut, United States|George Washington University, Washington, D.C., District of Columbia, United States|University of Miami, Miami, Florida, United States|Emory University, Atlanta, Georgia, United States|Indiana University, Indianapolis, Indiana, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Tennessee, Memphis, Tennessee, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT01203488"
387,"Minimal Breathing Support and Early Steroids to Prevent Chronic Lung Disease in Extremely Premature Infants (SAVE)","Terminated","No Results Available","Bronchopulmonary Dysplasia|Respiratory Distress Syndrome|Infant, Newborn|Infant, Low Birth Weight|Infant, Small for Gestational Age|Infant, Premature","Procedure: Minimal mechanical ventilation management|Procedure: Routine mechanical ventilation management|Drug: Dexamethasone|Drug: Placebo","All","5 Minutes to 10 Days   (Child)","Phase 3","220","September 2002","University of Alabama at Birmingham, Birmingham, Alabama, United States|Stanford University, Palo Alto, California, United States|Yale University, New Haven, Connecticut, United States|University of Miami, Miami, Florida, United States|Emory University, Atlanta, Georgia, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico, Albuquerque, New Mexico, United States|RTI International, Durham, North Carolina, United States|Cincinnati Children's Medical Center, Cincinnati, Ohio, United States|Case Western Reserve University, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Brown University, Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States|University of Tennessee, Memphis, Tennessee, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT00005777"
388,"Factor Xa Inhibitor Versus Standard of Care Heparin in Hospitalized Patients With COVID-19 (XACT)","Completed","No Results Available","Covid19","Drug: Enoxaparin|Drug: Rivaroxaban","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","150","June 28, 2021","St. David's Medical Center, Austin, Texas, United States","https://ClinicalTrials.gov/show/NCT04640181"
389,"Natural Killer Cell (CYNK-001) Infusions in Adults With COVID-19","Active, not recruiting","No Results Available","Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2|Pneumonia|Pneumonia, Viral|Lung Diseases|Respiratory Tract Disease|Respiratory Tract Infections|Coronaviridae Infections|Nidovirales Infections|RNA Virus Infections|Virus Disease|Immunologic Disease|ARDS|Immunologic Factors|Physiological Effects of Drugs|Antiviral Agents|Anti-infective Agents|Analgesics|Antimetabolites, Antineoplastic","Biological: CYNK-001","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","86","June 30, 2022","UC Irvine, Irvine, California, United States|UC Davis Medical Center, Sacramento, California, United States|Scripps Health, San Diego, California, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Atlantic Health, Morristown, New Jersey, United States|Atlantic Health, Summit, New Jersey, United States|Multicare Health System, Tacoma, Washington, United States","https://ClinicalTrials.gov/show/NCT04365101"
